Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Schmeichel,4,WHU (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,3,0,15,23.8,0,0,2.4,"-3,696","905,317",5.5
Ramsdale,1,WOL (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,18.2,0,0,1.8,0,"462,939",5
Ramsdale,2,AVL (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,1,0,10,11.2,0,0,1.1,"-41,600","440,147",5
Ramsdale,3,LEE (H) 0 - 1,4,90,0,0,0,1,0,0,0,0,0,7,0,26,42,10,0,5.2,"-66,442","377,916",5
Ramsdale,4,ARS (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,3,0,13,18.6,0,2,2.1,"-45,840","335,363",5
Lloris,1,EVE (H) 0 - 1,3,90,0,0,0,1,0,0,0,0,0,3,0,15,20,0,0,2,0,"296,409",5.5
Lloris,2,SOU (A) 2 - 5,2,90,0,0,0,2,0,0,0,0,0,5,0,18,37.2,0,0,3.7,"-18,999","319,315",5.5
Lloris,3,NEW (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,1.6,0,0,0.2,"6,565","361,182",5.5
Lloris,4,MUN (A) 1 - 6,2,90,0,0,0,1,0,0,0,0,0,1,0,11,6.4,0,0,0.6,"-30,652","330,050",5.5
Martinez,5,LEI (A) 0 - 1,9,90,0,0,1,0,0,0,0,0,0,5,2,30,28.4,0.0,0.0,2.8,419020,1479843,£4.7
Darlow,5,MUN (H) 1 - 4,8,90,0,0,0,4,0,1,0,0,0,8,1,41,75.6,0.0,0.0,7.6,23495,119216,£5.0
Patricio,5,LEE (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,2,0,25,18.4,0.0,0.0,1.8,35780,540479,£5.5
McCarthy,5,CHE (A) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,2,0,10,20.2,0.0,0.0,2.0,30596,1379113,£4.5
Leno,5,MCI (A) 1 - 0,3,90,0,0,0,1,0,0,0,0,0,4,0,19,31.6,0.0,0.0,3.2,-1770,689120,£5.0
Meslier,5,WOL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,12,16.4,0.0,0.0,1.6,59536,239566,£4.5
Allison,5,EVE (A) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-343933,637763,£6.0
Johnstone,1,LEI (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,4,0,16,31.2,0.0,0.0,3.1,0,43295,£4.5
Johnstone,2,EVE (A) 5 - 2,0,90,0,0,0,5,0,0,0,0,0,2,0,14,14.0,0.0,0.0,1.4,1313,52526,£4.5
Johnstone,3,CHE (H) 3 - 3,3,90,0,0,0,3,0,0,0,0,0,7,0,23,46.6,0.0,0.0,4.7,-5507,48344,£4.5
Johnstone,4,SOU (A) 2 - 0,3,90,0,0,0,2,0,0,0,0,0,6,0,20,39.2,0.0,0.0,3.9,285,50768,£4.5
Johnstone,5,BUR (H) 0 - 0,9,90,0,0,1,0,0,0,0,0,0,4,2,32,28.8,0.0,0.0,2.9,2299,55362,£4.5
Fabianski,5,TOT (A) 3 - 3,2,90,0,0,0,3,0,0,0,0,0,3,0,15,18.8,0.0,0.0,1.9,5546,105586,£5.0
